dataset,strategy,length_or_k,method,accuracy,f1_score,train_size,test_size,status,grid_search_time,rf_max_depth,rf_max_features,rf_min_samples_leaf,rf_min_samples_split,rf_n_estimators
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,OHE,0.6944444444444444,0.6653924566768603,552,144,Success,11.96909785270691,10,sqrt,1,5,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,Bigram,0.6736111111111112,0.6237601131639324,552,144,Success,4.653292894363403,20,sqrt,1,5,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,W2V,0.6805555555555556,0.5947582453186607,552,144,Success,4.267099857330322,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,D2V,0.7152777777777778,0.6139368521245111,552,144,Success,6.557783365249634,10,sqrt,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,BERT,0.7013888888888888,0.665775024817578,552,144,Success,6.3087544441223145,10,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,10,ACF,0.7083333333333334,0.609375,552,144,Success,5.834203243255615,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,OHE,0.7431192660550459,0.668960244648318,389,109,Success,4.977300405502319,10,sqrt,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,Bigram,0.6697247706422018,0.6175693616376944,389,109,Success,4.32360315322876,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,W2V,0.6146788990825688,0.5970931603290687,389,109,Success,4.280605792999268,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,D2V,0.6880733944954128,0.6193205164897985,389,109,Success,5.4978837966918945,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,BERT,0.6513761467889908,0.6382446979449032,389,109,Success,6.157058954238892,20,log2,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,20,ACF,0.6605504587155964,0.6191041554236373,389,109,Success,6.094675302505493,10,log2,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,OHE,0.6744186046511628,0.5432816537467701,310,86,Success,4.665925979614258,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,Bigram,0.627906976744186,0.520265780730897,310,86,Success,4.327369213104248,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,W2V,0.6744186046511628,0.5432816537467701,310,86,Success,4.914885759353638,10,sqrt,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,D2V,0.6976744186046512,0.6104729784977754,310,86,Success,5.15632700920105,20,log2,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,BERT,0.7209302325581395,0.6702971365568094,310,86,Success,5.6476922035217285,10,log2,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,30,ACF,0.6511627906976745,0.5597826086956522,310,86,Success,5.973047256469727,20,sqrt,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,OHE,0.6891891891891891,0.5839913807828246,263,74,Success,4.660362243652344,20,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,Bigram,0.6486486486486487,0.5974859995130265,263,74,Success,5.457792282104492,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,W2V,0.6891891891891891,0.6055002370791844,263,74,Success,4.934253454208374,10,log2,2,5,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,D2V,0.6216216216216216,0.5076576576576577,263,74,Success,6.059998989105225,20,log2,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,BERT,0.6756756756756757,0.6381442771051865,263,74,Success,6.322473764419556,20,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,40,ACF,0.6351351351351351,0.6037328537328537,263,74,Success,6.392062425613403,20,sqrt,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,OHE,0.7333333333333333,0.6346153846153846,231,60,Success,4.092316389083862,10,log2,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,Bigram,0.7,0.6667249417249418,231,60,Success,4.143673896789551,,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,W2V,0.75,0.7465338393421885,231,60,Success,4.2030017375946045,10,sqrt,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,D2V,0.7,0.6544541369283636,231,60,Success,5.068213939666748,20,log2,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,BERT,0.6666666666666666,0.6818243098323987,231,60,Success,4.817476987838745,20,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,50,ACF,0.6666666666666666,0.6181508967223253,231,60,Success,5.30981183052063,20,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,OHE,0.6590909090909091,0.5454545454545455,178,44,Success,4.375248670578003,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,Bigram,0.6136363636363636,0.5199824330259113,178,44,Success,4.343904256820679,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,W2V,0.6363636363636364,0.494949494949495,178,44,Success,5.360713481903076,10,sqrt,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,D2V,0.5681818181818182,0.5164653528289892,178,44,Success,5.495751619338989,10,sqrt,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,BERT,0.6136363636363636,0.5551948051948051,178,44,Success,6.077582836151123,20,log2,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,75,ACF,0.6136363636363636,0.5756263938082119,178,44,Success,5.311932563781738,10,log2,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,OHE,0.75,0.6428571428571428,138,40,Success,3.971834421157837,10,log2,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,Bigram,0.7,0.6176470588235293,138,40,Success,4.130747318267822,10,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,W2V,0.7,0.6645021645021645,138,40,Success,3.914093494415283,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,D2V,0.725,0.6304347826086956,138,40,Success,4.181273460388184,10,sqrt,2,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,BERT,0.675,0.6136363636363636,138,40,Success,4.295903444290161,10,log2,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,100,ACF,0.65,0.5909090909090909,138,40,Success,4.938504695892334,20,log2,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,OHE,0.625,0.4807692307692308,115,32,Success,4.0993030071258545,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,Bigram,0.53125,0.4336734693877551,115,32,Success,4.130380868911743,10,sqrt,2,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,W2V,0.65625,0.5743371212121212,115,32,Success,4.351625442504883,10,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,D2V,0.53125,0.46928191489361704,115,32,Success,4.814124345779419,10,sqrt,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,BERT,0.625,0.55625,115,32,Success,4.664121627807617,10,sqrt,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,125,ACF,0.5625,0.48248106060606066,115,32,Success,4.768882513046265,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,OHE,0.6538461538461539,0.516994633273703,92,26,Success,5.399060964584351,10,sqrt,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,Bigram,0.4230769230769231,0.41098901098901097,92,26,Success,4.139559268951416,20,sqrt,1,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,W2V,0.6153846153846154,0.5503823661718399,92,26,Success,4.219252824783325,10,sqrt,1,5,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,D2V,0.5769230769230769,0.5367264314632736,92,26,Success,4.397464036941528,10,sqrt,1,5,200
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,BERT,0.6153846153846154,0.4981684981684982,92,26,Success,4.675691366195679,10,sqrt,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,prefix,150,ACF,0.5384615384615384,0.48178137651821856,92,26,Success,4.886525869369507,20,log2,1,5,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,10,OHE,0.6872637944066515,0.6367349499716911,45155,10584,Success,58.838337898254395,20,log2,2,2,100
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,10,Bigram,0.6800831443688586,0.5756801724412902,45155,10584,Success,30.732964754104614,10,sqrt,1,2,200
datasets/BPI_Challenge_2013_incidents.xes,sliding_window,10,W2V,0.676681783824641,0.5957441652759585,45155,10584,Success,33.0156466960907,10,sqrt,1,2,200
